date,region,icu_capacity_percent,stay_home_order
12/19/2020,Northern California,0.224,no
12/19/2020,San Joaquin Valley,0,yes
12/19/2020,Southern California,0,yes
12/18/2020,Bay Area,0.128,yes
12/18/2020,Greater Sacramento,0.145,yes
12/18/2020,Northern California,0.21,no
12/18/2020,San Joaquin Valley,0,yes
12/18/2020,Southern California,0,yes
12/17/2020,Bay Area,0.131,yes
12/17/2020,Greater Sacramento,0.113,yes
12/17/2020,Northern California,0.258,no
12/17/2020,San Joaquin Valley,0.007,yes
12/17/2020,Southern California,0,yes
12/16/2020,Bay Area,0.129,pending
12/16/2020,Greater Sacramento,0.141,yes
12/16/2020,Northern California,0.281,no
12/16/2020,San Joaquin Valley,0,yes
12/16/2020,Southern California,0.005,yes
12/15/2020,Bay Area,0.158,no
12/15/2020,Greater Sacramento,0.149,yes
12/15/2020,Northern California,0.298,no
12/15/2020,San Joaquin Valley,0.016,yes
12/15/2020,Southern California,0.017,yes
12/14/2020,Bay Area,0.178,no
12/14/2020,Greater Sacramento,0.148,yes
12/14/2020,Northern California,0.29,no
12/14/2020,San Joaquin Valley,0,yes
12/14/2020,Southern California,0.027,yes
12/13/2020,Bay Area,0.167,no
12/13/2020,Greater Sacramento,0.151,yes
12/13/2020,Northern California,0.29,no
12/13/2020,San Joaquin Valley,0.015,yes
12/13/2020,Southern California,0.042,yes
12/12/2020,Bay Area,0.176,no
12/12/2020,Greater Sacramento,0.127,yes
12/12/2020,Northern California,0.274,no
12/12/2020,San Joaquin Valley,0,yes
12/12/2020,Southern California,0.053,yes
12/11/2020,Bay Area,0.167,no
12/11/2020,Greater Sacramento,0.148,yes
12/11/2020,Northern California,0.266,no
12/11/2020,San Joaquin Valley,0.045,yes
12/11/2020,Southern California,0.062,yes
12/10/2020,Bay Area,0.178,no
12/10/2020,Greater Sacramento,0.133,pending
12/10/2020,Northern California,0.303,no
12/10/2020,San Joaquin Valley,0.019,yes
12/10/2020,Southern California,0.077,yes
12/9/2020,Bay Area,0.209,no
12/9/2020,Greater Sacramento,0.143,pending
